year,round,race_name,circuit_id,driver_id,driver_code,constructor_id,quali_position,q1_time,q2_time,q3_time
2017,2,Chinese Grand Prix,shanghai,sainz,SAI,toro_rosso,11,1:34.567,1:34.150,
2017,2,Chinese Grand Prix,shanghai,kevin_magnussen,MAG,haas,12,1:34.942,1:34.164,
2017,2,Chinese Grand Prix,shanghai,alonso,ALO,mclaren,13,1:34.499,1:34.372,
2017,2,Chinese Grand Prix,shanghai,ericsson,ERI,sauber,14,1:34.892,1:35.046,
2017,2,Chinese Grand Prix,shanghai,giovinazzi,GIO,sauber,15,1:34.963,,
2017,2,Chinese Grand Prix,shanghai,vandoorne,VAN,mclaren,16,1:35.023,,
2017,2,Chinese Grand Prix,shanghai,grosjean,GRO,haas,17,1:35.223,,
2017,2,Chinese Grand Prix,shanghai,jolyon_palmer,PAL,renault,18,1:35.279,,
2017,2,Chinese Grand Prix,shanghai,max_verstappen,VER,red_bull,19,1:35.433,,
2017,2,Chinese Grand Prix,shanghai,ocon,OCO,force_india,20,1:35.496,,
2017,3,Bahrain Grand Prix,bahrain,bottas,BOT,mercedes,1,1:31.041,1:29.555,1:28.769
2017,3,Bahrain Grand Prix,bahrain,hamilton,HAM,mercedes,2,1:30.814,1:29.535,1:28.792
2017,3,Bahrain Grand Prix,bahrain,vettel,VET,ferrari,3,1:31.037,1:29.596,1:29.247
2017,3,Bahrain Grand Prix,bahrain,ricciardo,RIC,red_bull,4,1:31.667,1:30.497,1:29.545
2017,3,Bahrain Grand Prix,bahrain,raikkonen,RAI,ferrari,5,1:30.988,1:29.843,1:29.567
2017,3,Bahrain Grand Prix,bahrain,max_verstappen,VER,red_bull,6,1:30.904,1:30.307,1:29.687
2017,3,Bahrain Grand Prix,bahrain,hulkenberg,HUL,renault,7,1:31.057,1:30.169,1:29.842
2017,3,Bahrain Grand Prix,bahrain,massa,MAS,williams,8,1:31.373,1:30.677,1:30.074
2017,3,Bahrain Grand Prix,bahrain,grosjean,GRO,haas,9,1:31.691,1:30.857,1:30.763
2017,3,Bahrain Grand Prix,bahrain,jolyon_palmer,PAL,renault,10,1:31.458,1:30.899,1:31.074
2017,3,Bahrain Grand Prix,bahrain,kvyat,KVY,toro_rosso,11,1:31.531,1:30.923,
2017,3,Bahrain Grand Prix,bahrain,stroll,STR,williams,12,1:31.748,1:31.168,
